City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
584,Darnah,LY,69.73,few clouds,32.767,22.6367,فندق الفردوس
588,Te Anau,NZ,53.78,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
589,Eureka,US,60.19,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
599,Port Victoria,KE,69.15,light rain,0.0939,33.9756,Homepark motel
603,Crotone,IT,53.69,clear sky,39.0851,17.1178,Helios Hotel
604,Ahipara,NZ,68.61,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
606,Ballina,AU,69.98,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
614,Itoman,JP,70.18,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
621,Kabinda,CD,66.6,overcast clouds,-6.1333,24.4833,Village Mianda Mutole
626,Minas,UY,68.47,overcast clouds,-34.3759,-55.2377,Hotel Minas
627,Heilbron,ZA,59.27,light rain,-27.2812,27.9709,Guest house
632,Corsicana,US,55.42,overcast clouds,32.0954,-96.4689,"Holiday Inn Express & Suites Corsicana I-45, an IHG Hotel"
635,Necochea,AR,61.05,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
636,Yulara,AU,67.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
638,Sechura,PE,71.8,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
641,Mabaruma,GY,74.79,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
643,Sakakah,SA,56.77,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
645,Geraldton,AU,63.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
647,Buraydah,SA,61.25,clear sky,26.326,43.975,فندق راحة السلام
650,Huarmey,PE,68.5,overcast clouds,-10.0681,-78.1522,Hotel Miramar
653,Abu Kamal,SY,61.63,overcast clouds,34.4506,40.9171,محطة التلفاز
654,Ihosy,MG,60.03,overcast clouds,-22.4,46.1167,Hotely Sariaka
658,Biloxi,US,59.72,overcast clouds,30.396,-88.8853,IP Casino Resort Spa
661,Calama,CL,72.09,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
665,Teluk Nibung,ID,74.41,overcast clouds,3.001,99.8164,Hotel Assyifa
