City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Anadyr,RU,2021-11-23 22:15:25,64.75,177.4833,-17.9,75,20,8.01
252,Jijiga,ET,2021-11-23 22:15:26,9.35,42.8,59.74,36,37,9.89
253,Mehamn,NO,2021-11-23 22:15:26,71.0357,27.8492,23.18,68,0,5.75
254,Tahe,CN,2021-11-23 22:15:27,52.3333,124.7333,7.81,90,100,7.11
255,Kontagora,NG,2021-11-23 22:15:27,10.3999,5.4695,80.76,26,87,3.18
256,Kozhva,RU,2021-11-23 22:15:27,65.1073,57.0459,9.7,94,96,9.01
257,Kodinar,IN,2021-11-23 22:15:28,20.7903,70.7031,77.86,61,92,6.22
258,Tautira,PF,2021-11-23 22:15:28,-17.7333,-149.15,87.82,75,98,3.27
259,Njombe,TZ,2021-11-23 22:15:29,-9.3333,34.7667,56.62,83,11,2.24
260,Hakui,JP,2021-11-23 22:15:29,36.8833,136.7833,46.22,68,100,29.08
261,Suhbaatar,MN,2021-11-23 22:15:29,50.2314,106.2078,5.77,95,98,1.77
262,Lalibela,ET,2021-11-23 22:15:30,12.0333,39.0333,55.56,58,42,7.02
263,Nanortalik,GL,2021-11-23 22:15:30,60.1432,-45.2371,33.46,74,100,10.54
264,Marietta,US,2021-11-23 22:15:30,33.9526,-84.5499,51.76,35,40,6.91
265,Hamadan,IR,2021-11-23 22:15:31,34.7992,48.5146,40.91,67,0,6.58
266,Anahuac,MX,2021-11-23 22:15:31,27.2333,-100.15,76.5,34,85,17.34
267,Borogontsy,RU,2021-11-23 22:15:32,62.6683,131.1683,-11.36,95,100,2.68
268,Panaba,MX,2021-11-23 22:15:32,21.2833,-88.2667,76.8,63,66,12.66
269,Port Augusta,AU,2021-11-23 22:15:32,-32.5,137.7667,66.34,60,100,2.35
270,Troitsko-Pechorsk,RU,2021-11-23 22:15:33,62.7084,56.1964,10.18,95,98,5.53
271,Dunkwa,GH,2021-11-23 22:15:33,5.9656,-1.78,75.63,93,66,3.02
272,Ampanihy,MG,2021-11-23 22:16:34,-24.7,44.75,69.19,93,52,8.86
273,Kouroussa,GN,2021-11-23 22:16:34,10.65,-9.8833,75.88,31,1,1.1
274,Port Blair,IN,2021-11-23 22:16:34,11.6667,92.75,81.41,83,100,9.8
275,Plettenberg Bay,ZA,2021-11-23 22:16:35,-34.0527,23.3716,57.38,83,76,2.33
276,Raduzhnyy,RU,2021-11-23 22:16:35,62.0961,77.475,12.09,94,100,8.12
277,Ikom,NG,2021-11-23 22:16:35,5.9667,8.7063,76.1,88,100,2.01
278,Ostrovnoy,RU,2021-11-23 22:16:36,68.0531,39.5131,21.99,92,100,5.17
279,Codajas,BR,2021-11-23 22:16:36,-3.8367,-62.0569,80.65,78,100,2.66
280,Torbay,CA,2021-11-23 22:15:04,47.6666,-52.7314,42.58,94,90,31.07
281,Kruisfontein,ZA,2021-11-23 22:16:36,-34.0033,24.7314,54.88,72,75,8.19
282,Lompoc,US,2021-11-23 22:16:37,34.6391,-120.4579,79.79,55,1,12.66
283,Maceio,BR,2021-11-23 22:16:37,-9.6658,-35.7353,80.04,78,20,9.22
284,Nishihara,JP,2021-11-23 22:16:37,26.1842,127.7558,65.48,53,20,14.97
285,Barra Do Garcas,BR,2021-11-23 22:16:38,-15.89,-52.2567,78.91,80,100,1.83
286,Neiafu,TO,2021-11-23 22:16:38,-18.65,-173.9833,83.08,74,75,4.61
287,Kahului,US,2021-11-23 22:13:06,20.8947,-156.47,87.82,56,20,20.71
288,Sajanan,TN,2021-11-23 22:16:39,37.0573,9.2426,52.07,84,66,2.66
289,Darnah,LY,2021-11-23 22:16:39,32.767,22.6367,66.61,48,92,12.28
290,Roma,US,2021-11-23 22:16:03,43.2128,-75.4557,30.06,75,1,1.01
291,Namibe,AO,2021-11-23 22:16:39,-15.1961,12.1522,70.18,72,8,5.39
292,Teguise,ES,2021-11-23 22:16:40,29.0605,-13.564,64.62,77,20,5.75
293,Iqaluit,CA,2021-11-23 22:16:40,63.7506,-68.5145,25.7,68,75,15.01
