City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Ponta Delgada,PT,37.7333,-25.6667,61.52,63,75,5.75,broken clouds
252,Clifton,US,40.8584,-74.1638,37.44,44,1,6.91,clear sky
253,Khasan,RU,42.4308,130.6434,30.22,57,2,4.47,clear sky
254,Karaton,ID,-6.3424,106.1045,73.56,94,100,4.21,overcast clouds
255,Kuliyapitiya,LK,7.4688,80.0401,73.58,98,100,2.17,overcast clouds
256,Peachland,CA,49.7665,-119.7357,43.41,91,100,0.6,overcast clouds
257,Miri,MY,4.4148,114.0089,75.34,94,40,5.75,scattered clouds
258,Evensk,RU,61.95,159.2333,10.65,90,100,10.94,overcast clouds
259,Kikwit,CD,-5.041,18.8162,69.55,95,23,2.01,few clouds
260,Jasper,US,37.2001,-94.3502,60.85,36,20,11.5,few clouds
261,Laibin,CN,23.7,109.2667,56.34,62,10,4.54,clear sky
262,Ibra,OM,22.6906,58.5334,66.96,64,5,2.3,clear sky
263,Benjamin Hill,MX,30.1667,-111.1,71.85,31,0,10.22,clear sky
264,Ancud,CL,-41.8697,-73.8203,56.73,61,10,11.34,clear sky
265,Gold Coast,AU,-28.0,153.4333,71.67,73,90,17.27,overcast clouds
266,Longyearbyen,SJ,78.2186,15.6401,13.84,67,20,24.16,light snow
267,Camana,PE,-16.6228,-72.7111,68.59,77,78,9.33,broken clouds
268,Mitsamiouli,KM,-11.3847,43.2844,80.42,78,100,8.66,light rain
269,Constitucion,CL,-35.3333,-72.4167,58.46,68,1,19.71,clear sky
270,Kieta,PG,-6.2167,155.6333,81.54,81,100,4.74,light rain
271,Fairbanks,US,64.8378,-147.7164,-11.24,73,90,0.0,light snow
272,Riyadh,SA,24.6877,46.7219,64.54,36,3,6.33,clear sky
273,Dalvik,IS,65.9702,-18.5286,30.13,89,97,6.24,overcast clouds
274,Pilot Butte,CA,50.4668,-104.4178,33.53,57,20,6.91,few clouds
275,Patiya,BD,22.2931,91.9762,58.91,84,52,4.27,broken clouds
276,Ponta Do Sol,PT,32.6667,-17.1,63.23,76,22,5.77,few clouds
277,Anadyr,RU,64.75,177.4833,-3.5,77,0,8.95,clear sky
278,Totness,SR,5.8833,-56.3167,80.06,82,19,11.79,few clouds
279,Arraial Do Cabo,BR,-22.9661,-42.0278,72.34,94,84,6.85,broken clouds
280,Bowen,AU,-20.0167,148.2333,81.68,72,0,6.69,clear sky
281,Bealanana,MG,-14.55,48.7333,65.34,96,64,1.43,light rain
282,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,88,75,9.46,broken clouds
283,Augusto Correa,BR,-1.0217,-46.635,77.94,85,23,3.24,few clouds
284,Bulgan,MN,48.8125,103.5347,12.81,96,100,0.11,overcast clouds
285,Hervey Bay,AU,-25.2986,152.8535,75.31,83,86,15.39,overcast clouds
286,Saquena,PE,-4.6667,-73.5167,81.55,77,100,2.46,overcast clouds
287,Tefe,BR,-3.3542,-64.7114,80.71,89,20,5.75,few clouds
288,Bonthe,SL,7.5264,-12.505,80.73,81,67,7.38,light rain
289,Nieuw Amsterdam,SR,5.8833,-55.0833,80.62,89,20,0.0,few clouds
290,Yellowknife,CA,62.456,-114.3525,-7.08,77,20,5.75,few clouds
291,Ust-Maya,RU,60.4167,134.5333,4.89,91,96,7.18,overcast clouds
292,Krasnoselkup,RU,65.7,82.4667,5.65,95,100,11.27,light snow
293,Sovetskiy,RU,61.3614,63.5842,26.22,92,68,7.7,broken clouds
294,Peniche,PT,39.3558,-9.3811,49.48,55,80,25.12,broken clouds
295,Saint-Joseph,RE,-21.3667,55.6167,75.58,88,46,1.54,light rain
296,Kirakira,SB,-10.4544,161.9205,83.64,75,86,5.79,overcast clouds
297,Lavrentiya,RU,65.5833,-171.0,-10.66,93,4,8.08,clear sky
298,Poum,NC,-20.2333,164.0167,80.42,74,1,7.72,clear sky
299,Kjollefjord,NO,70.9457,27.3465,20.34,76,26,15.46,scattered clouds
300,Leningradskiy,RU,69.3833,178.4167,-19.39,90,3,9.04,clear sky
301,Ligayan,PH,4.6533,119.4706,81.91,80,96,8.84,overcast clouds
302,Svetlyy,RU,54.675,20.1347,35.65,86,100,6.69,overcast clouds
303,Phan Thiet,VN,10.9333,108.1,74.46,93,100,8.79,overcast clouds
304,Oussouye,SN,12.485,-16.5469,80.69,77,18,5.01,few clouds
305,Vanimo,PG,-2.6741,141.3028,77.99,85,100,4.94,overcast clouds
306,Samarai,PG,-10.6167,150.6667,82.45,76,100,4.9,overcast clouds
307,Tacoronte,ES,28.4769,-16.4102,58.14,88,40,12.66,scattered clouds
308,Blackfoot,US,43.1905,-112.345,49.78,33,88,5.1,overcast clouds
309,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,60,40,20.71,scattered clouds
310,Saint Anthony,US,45.0205,-93.218,41.95,45,1,8.05,clear sky
311,Iquitos,PE,-3.7481,-73.2472,93.24,52,20,4.61,few clouds
312,Pokhara,NP,28.2333,83.9833,54.9,59,5,5.97,clear sky
313,Kargasok,RU,59.0556,80.8572,25.57,93,100,12.59,overcast clouds
314,Saskylakh,RU,71.9167,114.0833,-2.9,92,92,10.18,overcast clouds
315,Sabha,LY,27.0377,14.4283,72.88,26,98,6.98,overcast clouds
316,Neuenburg,CH,46.9918,6.931,35.15,83,75,8.05,broken clouds
317,Port Hawkesbury,CA,45.6169,-61.3485,42.39,81,75,19.57,broken clouds
318,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.01,82,74,5.99,broken clouds
319,Buala,SB,-8.145,159.5921,83.1,76,91,5.14,light rain
320,Mildura,AU,-34.2,142.15,69.76,49,1,10.36,clear sky
321,Kanbe,MM,16.7053,96.0017,78.85,90,95,5.61,overcast clouds
322,Huanren,CN,41.2647,125.3667,23.94,82,13,3.67,few clouds
323,Christchurch,NZ,-43.5333,172.6333,53.8,100,75,12.66,mist
324,Novoagansk,RU,61.9449,76.6625,28.11,95,100,13.62,light snow
325,Clyde River,CA,70.4692,-68.5914,-8.66,99,87,5.48,overcast clouds
326,Kuah,MY,6.3265,99.8432,76.98,94,20,0.0,few clouds
327,Barreirinha,BR,-2.7933,-57.07,83.01,68,86,2.13,overcast clouds
328,Port Lincoln,AU,-34.7333,135.8667,60.46,74,0,12.53,clear sky
329,Hermosillo,MX,29.0667,-110.9667,78.71,34,1,3.44,clear sky
330,Lazaro Cardenas,MX,17.9583,-102.2,83.34,63,8,7.65,clear sky
331,Damghan,IR,36.1683,54.348,44.4,58,0,1.01,clear sky
332,Beringovskiy,RU,63.05,179.3167,2.32,98,99,8.23,overcast clouds
333,Ranfurly,NZ,-45.1333,170.1,54.5,65,99,1.3,overcast clouds
334,Grootfontein,NA,-19.5667,18.1167,71.17,56,64,2.3,broken clouds
335,Port Blair,IN,11.6667,92.75,80.64,78,40,6.91,mist
336,Padang,ID,-0.9492,100.3543,77.05,75,99,2.93,overcast clouds
337,Forbes,AU,-33.3833,148.0167,60.42,69,66,13.42,broken clouds
338,Curup,ID,-3.4667,102.5333,68.02,95,100,2.48,overcast clouds
339,Tarko-Sale,RU,64.9225,77.785,9.34,96,100,6.91,light snow
340,Santa Cruz Cabralia,BR,-16.2781,-39.0247,79.03,89,75,9.22,thunderstorm
341,Flin Flon,CA,54.7682,-101.865,26.44,59,20,9.22,few clouds
342,Molo,KE,-0.2479,35.7374,53.13,95,98,3.76,overcast clouds
343,Mount Gambier,AU,-37.8333,140.7667,55.58,66,4,9.1,clear sky
344,Richmond,US,37.5538,-77.4603,44.58,31,20,3.44,few clouds
345,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,81.1,77,82,0.85,broken clouds
